
---------- Begin Simulation Statistics ----------
simSeconds                                   0.078659                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::SimdStridedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdIndexedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdIndexedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdWholeRegisterLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total      367192907                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         2.334081                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              223210                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.000608                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                879745581                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               373870358                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       360764011                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                  12070165                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                  6364360                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses          5037629                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   360819498                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                      6062122                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                    167557                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                            1880                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          132631                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads       35851536                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       3190168                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       173710                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores         1084                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0.falseDependencies         7874                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__0.correctPredictions        18014                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__0.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__0.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__0.readsPath1                 2                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__0.readsPath2              2006                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__0.readsPath3             12719                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__0.readsPath4              6923                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__0.readsPath5              6874                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__0.readsPath6               430                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__0.readsPath7              1281                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__0.readsPath8              1452                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__0.writesPath1                4                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__0.writesPath2             4457                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__0.writesPath3            32381                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__0.writesPath4            26509                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__0.writesPath5            22726                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__0.writesPath6             7789                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__0.writesPath7             8638                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__0.writesPath8             3348                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
