
---------- Begin Simulation Statistics ----------
simSeconds                                   0.191632                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::SimdUnitStrideMaskStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdStridedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdStridedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdIndexedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdIndexedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdWholeRegisterLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total     1641057964                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         4.281806                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                             3374693                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.002056                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads               1315519784                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               466290296                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       465966483                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                2353118178                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites               1085255417                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses       1084931032                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   463877451                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                   1178235540                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                     30921                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                            1061                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          119432                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads      217446732                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      86831024                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads     14217528                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores         1649                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0.falseDependencies           14                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__0.correctPredictions     14208806                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__0.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__0.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__0.readsPath1          12139646                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__0.readsPath2           1005310                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__0.readsPath3           1062776                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__0.readsPath4                49                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__0.readsPath5                41                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__0.readsPath6                14                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__0.readsPath7              1191                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__0.readsPath8                 1                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__0.writesPath1         32142425                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__0.writesPath2          2016294                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__0.writesPath3          3062883                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__0.writesPath4              284                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__0.writesPath5              266                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__0.writesPath6               24                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__0.writesPath7             2675                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__0.writesPath8                5                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.falseDependencies            0                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__1.correctPredictions            0                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__1.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__1.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__1.readsPath1                 0                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__1.readsPath2                 0                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__1.readsPath3                 0                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__1.readsPath4                 0                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__1.readsPath5                 0                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__1.readsPath6                 0                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__1.readsPath7                 0                       # Number of reads to path table 7. (Count)
