
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005869                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::SimdStridedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdIndexedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdIndexedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdWholeRegisterLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       22046167                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.878270                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                                 550                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.000025                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 37416266                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                13103202                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        12877979                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                  18321138                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                  8994264                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses          8847671                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    12828174                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                      9160674                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                      7393                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             833                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           94584                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads        2781751                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       1686152                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads         7034                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores          494                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0.falseDependencies          106                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__0.correctPredictions         1138                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__0.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__0.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__0.readsPath1                 4                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__0.readsPath2               113                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__0.readsPath3                 0                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__0.readsPath4                 1                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__0.readsPath5                 3                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__0.readsPath6                 0                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__0.readsPath7              1142                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__0.readsPath8                 1                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__0.writesPath1                8                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__0.writesPath2              220                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__0.writesPath3                0                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__0.writesPath4                2                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__0.writesPath5                5                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__0.writesPath6                0                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__0.writesPath7             2593                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__0.writesPath8                1                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
