
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000173                       # Number of seconds simulated (Second)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                      323661                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                        11318                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                      6479                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             583                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           30135                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads          54852                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores         23630                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads          972                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0.falseDependencies            0                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__0.correctPredictions          259                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__0.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__0.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__0.readsPath1               120                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__0.readsPath2                73                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__0.readsPath3                 9                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__0.readsPath4                20                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__0.readsPath5                66                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__0.readsPath6                11                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__0.readsPath7                 4                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__0.readsPath8                 1                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__0.writesPath1              492                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__0.writesPath2              460                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__0.writesPath3               53                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__0.writesPath4              281                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__0.writesPath5              324                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__0.writesPath6              105                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__0.writesPath7               81                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__0.writesPath8                1                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.falseDependencies            0                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__1.correctPredictions            0                       # Number of times load's address did match predicted store's address (Count)
