
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000167                       # Number of seconds simulated (Second)
system.cpu.fuBusy                                 605                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.001823                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                   785654                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                  602346                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses          309482                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                     21983                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                    23795                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses            10105                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                      318887                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                        10992                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                      6212                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             509                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           25596                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads          53916                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores         22819                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads         2147                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0.falseDependencies            0                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__0.correctPredictions           51                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__0.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__0.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__0.readsPath1                 1                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__0.readsPath2                37                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__0.readsPath3                 0                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__0.readsPath4                18                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__0.readsPath5                 5                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__0.readsPath6                 0                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__0.readsPath7                 1                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__0.readsPath8                 1                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__0.writesPath1                2                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__0.writesPath2              193                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__0.writesPath3                0                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__0.writesPath4              132                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__0.writesPath5               95                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__0.writesPath6                0                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__0.writesPath7               76                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__0.writesPath8                5                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.falseDependencies            0                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__1.correctPredictions            0                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__1.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__1.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__1.readsPath1                 0                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__1.readsPath2                 0                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__1.readsPath3                 0                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__1.readsPath4                 0                       # Number of reads to path table 4. (Count)
