
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000281                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::FloatMemWrite        10868      1.11%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideMaskLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideMaskStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdStridedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdStridedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdIndexedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdIndexedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdWholeRegisterLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total         975655                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.733622                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                                 276                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.000283                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                  2275275                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                 1057585                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses          894255                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                    148098                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                    85103                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses            71476                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                      898507                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                        74051                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                      4737                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             808                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           92724                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads         156896                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores         70612                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads         7505                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores           80                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0.falseDependencies           71                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__0.correctPredictions         6505                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__0.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__0.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__0.readsPath1               781                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__0.readsPath2              1877                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__0.readsPath3                29                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__0.readsPath4              2722                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__0.readsPath5                 8                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__0.readsPath6                 6                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__0.readsPath7              1239                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__0.readsPath8                 4                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__0.writesPath1             1588                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__0.writesPath2             3942                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__0.writesPath3               77                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__0.writesPath4             7175                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__0.writesPath5               27                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__0.writesPath6               16                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__0.writesPath7             2832                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__0.writesPath8                8                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
